1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-86.1,-45.19,-106.86,-89.77,-60.45,-39.08,-54.96,-87.93,-58.62,-8.55,-37.86,-62.29,-49.46,-16.49,-53.74,-26.26,-51.91,-45.8,-62.9,-42.75
-86.1,-45.19,-107.47,-92.21,-59.84,-39.69,-53.74,-87.32,-58.01,-8.55,-37.25,-61.68,-50.68,-16.49,-54.35,-26.87,-51.91,-46.41,-62.9,-42.75
-87.32,-44.58,-109.31,-94.65,-59.84,-39.69,-53.13,-86.71,-58.01,-7.33,-36.03,-61.06,-50.68,-16.49,-53.74,-26.87,-51.91,-47.02,-62.9,-42.13
-89.15,-44.58,-110.53,-97.7,-59.23,-39.08,-51.91,-85.49,-57.4,-6.72,-35.42,-60.45,-51.29,-17.71,-53.74,-27.48,-51.29,-47.02,-62.9,-42.13
-90.99,-45.19,-111.75,-100.15,-58.62,-39.08,-50.68,-84.88,-56.79,-5.5,-34.2,-59.84,-51.91,-18.32,-54.35,-27.48,-51.29,-47.63,-62.9,-42.13
-91.6,-45.19,-113.58,-101.98,-57.4,-38.47,-49.46,-84.88,-56.18,-6.11,-32.98,-59.23,-51.91,-18.93,-53.74,-27.48,-51.29,-47.63,-62.29,-42.13
-92.82,-45.19,-114.19,-103.81,-57.4,-39.08,-48.85,-83.66,-55.57,-4.27,-32.36,-58.01,-51.91,-18.93,-53.74,-27.48,-51.91,-48.24,-61.68,-41.52
-94.04,-44.58,-114.8,-105.64,-56.18,-38.47,-47.63,-82.44,-54.96,-4.27,-31.14,-57.4,-51.91,-20.15,-53.74,-27.48,-51.91,-48.24,-61.68,-41.52
-94.65,-44.58,-115.41,-106.86,-56.18,-37.86,-46.41,-81.22,-54.35,-3.66,-29.92,-56.79,-51.91,-19.54,-53.74,-26.87,-51.91,-48.24,-61.68,-40.91
-95.26,-44.58,-116.63,-107.47,-55.57,-37.86,-45.19,-80.61,-53.74,-3.05,-28.7,-54.96,-51.29,-20.15,-53.13,-26.87,-52.52,-48.85,-61.68,-40.91
-95.87,-43.97,-116.63,-108.7,-54.35,-37.86,-43.97,-79.38,-53.13,-3.05,-28.09,-54.96,-51.91,-20.15,-53.74,-26.87,-53.13,-49.46,-61.68,-40.3
-95.87,-44.58,-116.63,-109.31,-53.74,-37.86,-42.75,-78.77,-53.13,-2.44,-26.87,-53.74,-51.29,-19.54,-53.74,-25.65,-52.52,-49.46,-61.06,-39.69
-97.09,-44.58,-117.86,-109.92,-52.52,-37.25,-40.91,-77.55,-51.91,-1.221,-25.65,-53.74,-50.68,-19.54,-53.74,-25.65,-52.52,-49.46,-60.45,-40.3
-97.09,-43.97,-117.86,-109.92,-52.52,-37.86,-40.3,-76.94,-51.91,-0.611,-24.43,-53.13,-49.46,-19.54,-53.13,-25.04,-53.13,-49.46,-61.06,-39.69
-97.09,-45.19,-117.86,-110.53,-51.29,-37.25,-38.47,-75.72,-51.29,-1.221,-23.82,-52.52,-50.07,-20.15,-53.74,-24.43,-52.52,-50.68,-60.45,-39.69
-97.7,-44.58,-118.47,-110.53,-50.68,-36.64,-37.25,-74.5,-51.29,0,-22.59,-53.13,-48.85,-18.93,-53.74,-23.82,-52.52,-50.07,-60.45,-38.47
-97.7,-44.58,-117.86,-110.53,-50.07,-36.03,-36.03,-73.28,-50.07,0.611,-21.98,-52.52,-48.24,-18.93,-53.13,-23.2,-52.52,-50.68,-60.45,-39.08
-97.7,-45.19,-117.86,-110.53,-48.85,-36.03,-34.81,-72.67,-50.07,0.611,-21.37,-51.91,-47.63,-18.93,-53.74,-22.59,-53.13,-51.29,-60.45,-39.08
-97.7,-45.19,-118.47,-110.53,-48.85,-36.64,-33.59,-72.06,-50.68,1.221,-20.15,-51.91,-47.02,-18.32,-53.74,-22.59,-53.13,-50.68,-59.84,-38.47
-97.7,-45.8,-117.86,-110.53,-48.85,-36.64,-32.36,-71.45,-50.07,0.611,-19.54,-51.29,-47.02,-18.32,-53.74,-21.37,-53.13,-50.68,-59.84,-37.86
-97.09,-45.19,-117.86,-110.53,-47.63,-36.64,-31.14,-70.22,-49.46,1.221,-18.32,-51.29,-45.8,-18.93,-53.74,-21.37,-53.74,-51.29,-59.84,-38.47
-97.7,-45.8,-117.86,-109.92,-47.63,-36.64,-30.53,-69,-48.85,1.832,-18.32,-50.68,-45.8,-18.32,-53.74,-20.76,-53.13,-51.29,-59.23,-37.86
